Fecha;Chuvia(L/m2);Humidade relativa media a 1.5m(%);Temperatura  a 1.5m(ºC)
2026-01-07 18:00:00;0.0;98.0;3.6
2026-01-07 18:10:00;0.0;98.0;3.62
2026-01-07 18:20:00;0.0;98.0;3.6
2026-01-07 18:30:00;0.0;99.0;3.59
2026-01-07 18:40:00;0.0;99.0;3.55
2026-01-07 18:50:00;0.0;99.0;3.52
2026-01-07 19:00:00;0.0;99.0;3.5
2026-01-07 19:10:00;20.0;5.0;3.48
2026-01-07 19:20:00;0.0;98.0;3.48
2026-01-07 19:30:00;0.0;98.0;3.5
2026-01-07 19:40:00;0.0;98.0;3.52
2026-01-07 19:50:00;0.0;98.0;3.49
2026-01-07 20:00:00;0.0;98.0;3.46
2026-01-07 20:10:00;0.0;98.0;3.48
2026-01-07 20:20:00;0.0;98.0;3.52
2026-01-07 20:30:00;0.0;98.0;3.52
2026-01-07 20:40:00;0.0;98.0;3.52
2026-01-07 20:50:00;0.0;98.0;3.52
2026-01-07 21:00:00;0.0;98.0;3.51
2026-01-07 21:10:00;0.0;98.0;3.52
2026-01-07 21:20:00;0.0;98.0;3.52
2026-01-07 21:30:00;0.0;99.0;3.52
2026-01-07 21:40:00;0.0;99.0;
2026-01-07 21:50:00;0.0;99.0;
2026-01-07 22:00:00;0.0;99.0;3.4
2026-01-07 22:10:00;0.0;99.0;3.33
2026-01-07 22:20:00;0.0;99.0;3.32
2026-01-07 22:30:00;0.0;99.0;3.36
2026-01-07 22:40:00;0.0;99.0;3.34
2026-01-07 22:50:00;0.0;99.0;3.28
2026-01-07 23:00:00;0.0;99.0;3.32
2026-01-07 23:10:00;0.0;99.0;3.32
2026-01-07 23:20:00;0.0;99.0;3.32
2026-01-07 23:30:00;0.0;99.0;3.32
2026-01-07 23:40:00;0.0;99.0;3.32
2026-01-07 23:50:00;0.0;99.0;3.3
2026-01-08 00:00:00;0.0;99.0;3.27
2026-01-08 00:10:00;0.0;99.0;3.26
2026-01-08 00:20:00;0.0;99.0;3.26
2026-01-08 00:30:00;0.0;99.0;3.25
2026-01-08 00:40:00;0.0;99.0;
2026-01-08 00:50:00;0.0;99.0;nan
2026-01-08 01:00:00;0.0;99.0;3.27
2026-01-08 01:10:00;0.0;99.0;3.3
2026-01-08 01:20:00;0.0;99.0;3.32
2026-01-08 01:20:00;0.0;99.0;3.32
2026-01-08 01:30:00;0.0;99.0;3.33
2026-01-08 01:40:00;0.0;99.0;3.34
2026-01-08 01:50:00;0.0;99.0;3.35
2026-01-08 02:00:00;0.0;99.0;3.38
2026-01-08 02:10:00;0.0;99.0;3.39
2026-01-08 02:20:00;0.0;99.0;3.38
2026-01-08 02:30:00;0.0;99.0;3.39
2026-01-08 02:40:00;0.0;99.0;3.38
2026-01-08 02:50:00;0.0;99.0;3.39
2026-01-08 03:00:00;0.0;99.0;3.39
2026-01-08 03:10:00;0.0;99.0;3.38
2026-01-08 03:20:00;0.0;99.0;3.38
2026-01-08 03:30:00;0.0;99.0;3.36
2026-01-08 03:40:00;0.0;99.0;3.35
2026-01-08 03:50:00;0.0;99.0;3.38
2026-01-08 04:00:00;0.0;99.0;3.39
2026-01-08 04:10:00;0.0;99.0;3.39
2026-01-08 04:20:00;0.0;99.0;3.39
2026-01-08 04:30:00;0.0;99.0;3.38
2026-01-08 04:40:00;0.0;99.0;3.43
2026-01-08 04:50:00;0.0;99.0;3.48
2026-01-08 05:00:00;0.0;99.0;3.59
2026-01-08 05:10:00;0.0;99.0;3.62
2026-01-08 05:20:00;0.0;99.0;3.71
2026-01-08 05:30:00;0.0;99.0;3.77
2026-01-08 05:40:00;0.0;99.0;3.84
2026-01-08 05:50:00;0.0;99.0;3.9
2026-01-08 06:00:00;0.0;99.0;3.97
2026-01-08 06:10:00;0.0;99.0;4.14
2026-01-08 06:20:00;0.0;99.0;4.31
2026-01-08 06:30:00;0.0;99.0;4.43
2026-01-08 06:40:00;0.0;99.0;4.47
2026-01-08 06:50:00;0.0;99.0;4.51
2026-01-08 07:00:00;0.0;99.0;4.66
2026-01-08 07:10:00;0.0;99.0;4.78
2026-01-08 07:20:00;0.0;99.0;4.85
2026-01-08 07:30:00;0.0;99.0;4.92
2026-01-08 07:40:00;0.0;99.0;5.0
2026-01-08 07:50:00;0.0;99.0;5.05
2026-01-08 08:00:00;0.0;99.0;5.06
2026-01-08 08:10:00;0.0;99.0;5.18
2026-01-08 08:20:00;0.0;99.0;5.29
2026-01-08 08:30:00;0.0;99.0;5.39
2026-01-08 08:40:00;0.0;99.0;5.44
2026-01-08 08:50:00;0.0;99.0;5.47
2026-01-08 09:00:00;0.0;98.0;5.53
2026-01-08 09:10:00;0.0;98.0;5.67
2026-01-08 09:20:00;0.0;97.0;5.82
2026-01-08 09:30:00;0.0;96.0;5.92
2026-01-08 09:40:00;0.0;96.0;5.95
2026-01-08 09:50:00;0.0;95.0;6.01
2026-01-08 10:00:00;0.0;95.0;6.0
2026-01-08 10:10:00;0.0;96.0;5.94
2026-01-08 10:20:00;0.0;96.0;6.02
2026-01-08 10:30:00;0.0;96.0;6.05
2026-01-08 10:40:00;0.0;96.0;6.09
2026-01-08 10:50:00;0.0;96.0;6.16
2026-01-08 11:00:00;0.0;96.0;6.14
2026-01-08 11:10:00;0.0;97.0;6.12
2026-01-08 11:20:00;0.0;97.0;6.12
2026-01-08 11:30:00;0.0;97.0;6.15
2026-01-08 11:40:00;0.0;97.0;6.22
2026-01-08 11:50:00;0.0;96.0;6.33
2026-01-08 12:00:00;0.0;93.0;6.53
2026-01-08 12:10:00;0.0;91.0;6.66
2026-01-08 12:20:00;0.0;90.0;6.73
2026-01-08 12:30:00;0.0;89.0;6.74
2026-01-08 12:40:00;0.0;90.0;6.65
2026-01-08 12:50:00;0.0;91.0;6.63
2026-01-08 13:00:00;0.0;91.0;6.64
2026-01-08 13:10:00;0.0;91.0;6.69
2026-01-08 13:20:00;0.0;91.0;6.77
2026-01-08 13:30:00;0.0;91.0;6.97
2026-01-08 13:40:00;0.0;89.0;7.26
2026-01-08 13:50:00;0.0;86.0;7.52
2026-01-08 14:00:00;0.0;86.0;7.81
2026-01-08 14:10:00;0.0;85.0;7.87
2026-01-08 14:20:00;0.0;85.0;8.12
2026-01-08 14:30:00;0.0;84.0;8.29
2026-01-08 14:40:00;0.0;84.0;8.2
2026-01-08 14:50:00;0.0;85.0;8.08
2026-01-08 15:00:00;0.0;84.0;8.43
2026-01-08 15:10:00;0.0;84.0;8.51
2026-01-08 15:20:00;0.0;86.0;8.26
2026-01-08 15:30:00;0.0;86.0;8.48
2026-01-08 15:40:00;0.0;86.0;8.11
2026-01-08 15:50:00;0.0;90.0;7.57
2026-01-08 16:00:00;0.0;91.0;7.38
2026-01-08 16:10:00;0.0;90.0;7.32
2026-01-08 16:20:00;0.0;89.0;7.36
2026-01-08 16:30:00;0.0;88.0;7.36
2026-01-08 16:40:00;0.2;92.0;7.09
2026-01-08 16:50:00;0.3;96.0;6.8
2026-01-08 17:00:00;0.0;97.0;6.62
2026-01-08 17:10:00;0.1;98.0;6.53
2026-01-08 17:20:00;0.0;98.0;6.51
2026-01-08 17:30:00;0.2;98.0;6.52
2026-01-08 17:40:00;0.3;98.0;6.51
2026-01-08 17:50:00;0.2;98.0;6.46
2026-01-08 18:00:00;0.1;98.0;6.41
2026-01-08 18:10:00;0.3;98.0;6.39
2026-01-08 18:20:00;0.1;98.0;6.38
2026-01-08 18:30:00;0.3;98.0;6.33
2026-01-08 18:40:00;0.4;98.0;6.32
2026-01-08 18:50:00;0.1;98.0;6.32
2026-01-08 19:00:00;0.0;99.0;6.28
2026-01-08 19:10:00;0.1;99.0;6.26
2026-01-08 19:20:00;0.1;99.0;6.25
2026-01-08 19:30:00;0.1;99.0;6.26
2026-01-08 19:40:00;0.1;99.0;6.29
2026-01-08 19:50:00;0.2;99.0;6.36
2026-01-08 20:00:00;0.1;99.0;6.43
2026-01-08 20:10:00;0.1;99.0;6.51
2026-01-08 20:20:00;0.0;99.0;6.58
2026-01-08 20:30:00;0.0;99.0;6.7
2026-01-08 20:40:00;0.2;99.0;6.85
2026-01-08 20:50:00;0.1;99.0;6.95
2026-01-08 21:00:00;0.1;99.0;7.09
2026-01-08 21:10:00;0.1;99.0;7.18
2026-01-08 21:20:00;0.7;99.0;7.25
2026-01-08 21:30:00;1.5;99.0;7.26
2026-01-08 21:40:00;1.7;99.0;7.29
2026-01-08 21:50:00;0.5;99.0;7.17
2026-01-08 22:00:00;0.0;99.0;6.84
2026-01-08 22:10:00;0.0;99.0;6.61
2026-01-08 22:20:00;0.0;99.0;6.42
2026-01-08 22:30:00;0.0;99.0;6.23
2026-01-08 22:40:00;0.0;99.0;6.1
2026-01-08 22:50:00;0.0;99.0;6.04
2026-01-08 23:00:00;0.0;98.0;5.92
2026-01-08 23:10:00;0.0;98.0;5.89
2026-01-08 23:20:00;0.0;98.0;5.74
2026-01-08 23:30:00;0.0;97.0;5.57
2026-01-08 23:40:00;0.0;94.0;5.53
2026-01-08 23:50:00;0.0;93.0;5.43
2026-01-09 00:00:00;0.0;93.0;5.32
2026-01-09 00:10:00;0.0;92.0;5.03
2026-01-09 00:20:00;0.0;91.0;4.78
2026-01-09 00:30:00;0.0;91.0;4.45
2026-01-09 00:40:00;0.0;90.0;4.2
2026-01-09 00:50:00;0.0;89.0;4.22
2026-01-09 01:00:00;0.0;88.0;4.27
2026-01-09 01:10:00;0.0;88.0;4.26
2026-01-09 01:20:00;0.0;89.0;4.27
2026-01-09 01:30:00;0.0;90.0;4.27
2026-01-09 01:40:00;0.0;91.0;4.21
2026-01-09 01:50:00;0.0;91.0;4.26
2026-01-09 02:00:00;0.0;92.0;4.17
2026-01-09 02:10:00;0.0;92.0;3.98
2026-01-09 02:20:00;0.0;92.0;3.89
2026-01-09 02:30:00;0.0;92.0;3.86
2026-01-09 02:40:00;0.0;92.0;3.9
2026-01-09 02:50:00;0.0;92.0;3.91
2026-01-09 03:00:00;0.0;94.0;3.89
2026-01-09 03:10:00;0.0;94.0;3.81
2026-01-09 03:20:00;0.0;93.0;3.79
2026-01-09 03:30:00;0.0;91.0;3.77
2026-01-09 03:40:00;0.0;90.0;3.81
2026-01-09 03:50:00;0.0;91.0;3.72
2026-01-09 04:00:00;0.0;92.0;3.65
2026-01-09 04:10:00;0.0;93.0;3.51
2026-01-09 04:20:00;0.0;93.0;3.51
2026-01-09 04:30:00;0.0;92.0;3.61
2026-01-09 04:40:00;0.0;93.0;3.61
2026-01-09 04:50:00;0.0;94.0;3.61
2026-01-09 05:00:00;0.1;96.0;3.56
2026-01-09 05:10:00;0.1;98.0;3.55
2026-01-09 05:20:00;0.2;98.0;3.54
2026-01-09 05:30:00;0.1;98.0;3.55
2026-01-09 05:40:00;0.1;98.0;3.6
2026-01-09 05:50:00;0.0;99.0;3.64
2026-01-09 06:00:00;0.0;99.0;3.7
2026-01-09 06:10:00;0.0;99.0;3.72
2026-01-09 06:20:00;0.1;99.0;3.75
2026-01-09 06:30:00;0.0;99.0;3.73
2026-01-09 06:40:00;0.0;99.0;3.64
2026-01-09 06:50:00;0.0;99.0;3.62
2026-01-09 07:00:00;0.0;99.0;3.53
2026-01-09 07:10:00;0.0;99.0;3.43
2026-01-09 07:20:00;0.0;99.0;3.35
2026-01-09 07:30:00;0.0;98.0;3.18
2026-01-09 07:40:00;0.0;98.0;3.08
2026-01-09 07:50:00;0.0;98.0;3.05
2026-01-09 08:00:00;0.2;97.0;3.05
2026-01-09 08:10:00;0.1;98.0;3.02
2026-01-09 08:20:00;0.0;98.0;2.99
2026-01-09 08:30:00;0.0;98.0;3.0
2026-01-09 08:40:00;0.0;98.0;2.99
2026-01-09 08:50:00;0.1;98.0;2.98
2026-01-09 09:00:00;0.0;98.0;2.95
2026-01-09 09:10:00;0.0;98.0;2.96
2026-01-09 09:20:00;0.0;98.0;2.95
2026-01-09 09:30:00;0.0;98.0;2.95
2026-01-09 09:40:00;0.0;98.0;3.05
2026-01-09 09:50:00;0.0;96.0;2.99
2026-01-09 10:00:00;0.1;94.0;2.93
2026-01-09 10:10:00;0.3;95.0;2.86
2026-01-09 10:20:00;0.2;96.0;2.85
2026-01-09 10:30:00;0.0;97.0;3.1
2026-01-09 10:40:00;0.3;97.0;3.15
2026-01-09 10:50:00;0.4;98.0;3.02
2026-01-09 11:00:00;0.1;98.0;3.18
2026-01-09 11:10:00;0.0;98.0;3.38
2026-01-09 11:20:00;0.0;98.0;3.29
2026-01-09 11:30:00;0.0;98.0;3.21
2026-01-09 11:40:00;0.0;98.0;3.25
2026-01-09 11:50:00;0.1;98.0;3.33
2026-01-09 12:00:00;0.4;98.0;3.33
2026-01-09 12:10:00;0.3;98.0;3.24
2026-01-09 12:20:00;0.2;98.0;3.28
2026-01-09 12:30:00;0.0;98.0;3.57
2026-01-09 12:40:00;0.0;99.0;3.78
2026-01-09 12:50:00;0.8;98.0;3.42
2026-01-09 13:00:00;0.6;98.0;3.15
2026-01-09 13:10:00;0.0;99.0;3.31
2026-01-09 13:20:00;0.0;99.0;3.48
2026-01-09 13:30:00;0.0;99.0;3.55
2026-01-09 13:40:00;0.0;99.0;3.52
2026-01-09 13:50:00;0.1;99.0;3.54
2026-01-09 14:00:00;0.0;98.0;3.51
2026-01-09 14:10:00;0.2;98.0;3.45
2026-01-09 14:20:00;0.4;98.0;3.13
2026-01-09 14:30:00;0.1;98.0;2.97
2026-01-09 14:40:00;0.0;98.0;3.03
2026-01-09 14:50:00;0.0;98.0;3.13
2026-01-09 15:00:00;0.3;98.0;3.1
2026-01-09 15:10:00;0.1;98.0;3.11
2026-01-09 15:20:00;0.0;98.0;3.25
2026-01-09 15:30:00;0.0;98.0;3.28
2026-01-09 15:40:00;0.0;98.0;3.12
2026-01-09 15:50:00;0.0;98.0;3.12
2026-01-09 16:00:00;0.0;98.0;3.13
2026-01-09 16:10:00;0.0;98.0;3.04
2026-01-09 16:20:00;0.0;98.0;2.81
2026-01-09 16:30:00;0.0;98.0;2.76
2026-01-09 16:40:00;0.0;98.0;2.67
2026-01-09 16:50:00;0.0;98.0;2.42
2026-01-09 17:00:00;0.0;98.0;2.23
2026-01-09 17:10:00;0.0;98.0;2.15
2026-01-09 17:20:00;0.0;99.0;2.16
2026-01-09 17:30:00;0.0;99.0;2.29
2026-01-09 17:40:00;0.0;99.0;2.43
2026-01-09 17:50:00;0.0;99.0;2.33
2026-01-09 18:00:00;0.0;99.0;2.22
2026-01-09 18:10:00;0.0;99.0;2.08
2026-01-09 18:20:00;0.0;99.0;2.05
2026-01-09 18:30:00;0.0;99.0;2.05
2026-01-09 18:40:00;0.1;99.0;2.01
2026-01-09 18:50:00;0.0;99.0;1.93
2026-01-09 19:00:00;0.0;99.0;1.95
2026-01-09 19:10:00;0.0;99.0;1.94
2026-01-09 19:20:00;0.1;99.0;1.86
2026-01-09 19:30:00;0.2;99.0;1.78
2026-01-09 19:40:00;0.0;99.0;1.82
2026-01-09 19:50:00;0.1;99.0;1.84
2026-01-09 20:00:00;0.0;99.0;1.85
2026-01-09 20:10:00;0.0;99.0;1.88
2026-01-09 20:20:00;0.0;99.0;1.81
2026-01-09 20:30:00;0.0;99.0;1.79
2026-01-09 20:40:00;0.0;99.0;1.79
2026-01-09 20:50:00;0.0;99.0;1.69
2026-01-09 21:00:00;0.0;99.0;1.64
2026-01-09 21:10:00;0.0;99.0;1.6
2026-01-09 21:20:00;0.0;99.0;1.56
2026-01-09 21:30:00;0.0;99.0;1.56
2026-01-09 21:40:00;0.0;99.0;1.56
2026-01-09 21:50:00;0.0;99.0;1.57
2026-01-09 22:00:00;0.0;99.0;1.54
2026-01-09 22:10:00;0.0;99.0;1.54
2026-01-09 22:20:00;0.0;99.0;1.55
2026-01-09 22:30:00;0.0;99.0;1.52
2026-01-09 22:40:00;0.0;99.0;1.48
2026-01-09 22:50:00;0.0;99.0;1.48
2026-01-09 23:00:00;0.0;99.0;1.46
2026-01-09 23:10:00;0.0;99.0;1.48
2026-01-09 23:20:00;0.0;99.0;1.48
2026-01-09 23:30:00;0.0;99.0;1.43
2026-01-09 23:40:00;0.0;99.0;1.45
2026-01-09 23:50:00;0.0;99.0;1.46
